text,pos
I got excited.,PRON VERB ADJ PUNCT
This will eliminate his valuable offense.,PRON AUX VERB PRON ADJ NOUN PUNCT
She was proud.,PRON AUX ADJ PUNCT
It was terrifying.,PRON AUX VERB PUNCT
"Sign Up You will receive emails containing news content, updates and promotions from The New York Times.",VERB ADP PRON AUX VERB NOUN VERB NOUN NOUN PUNCT NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN PUNCT
He has shaped himself.,PRON AUX VERB PRON PUNCT
I 'd like a place to live on.,PRON AUX VERB DET NOUN PART VERB ADP PUNCT
She had a great evening.,PRON VERB DET ADJ NOUN PUNCT
He's very talented.,PRON AUX ADV ADJ PUNCT
He ’s so talented.,PRON VERB ADV ADJ PUNCT
This is a conscious choice.,PRON AUX DET ADJ NOUN PUNCT
The answer is simple.,DET NOUN AUX ADJ PUNCT
The crime is happening.,DET NOUN AUX VERB PUNCT
They had no toilets.,PRON VERB DET NOUN PUNCT
Retailers : This issue will ship with two covers.,NOUN PUNCT DET NOUN AUX VERB ADP NUM NOUN PUNCT
But that's understandable.,CCONJ PRON AUX ADJ PUNCT
Jaune felt a hot rush.,PROPN VERB DET ADJ NOUN PUNCT
It is a pathological liar. ”,PRON AUX DET ADJ NOUN PUNCT PUNCT
It helps people.,PRON VERB NOUN PUNCT
I ca n’t believe that.,PRON AUX PROPN VERB PRON PUNCT
I would appreciate all of you.,PRON AUX VERB PRON ADP PRON PUNCT
I could change the letter.,PRON AUX VERB DET NOUN PUNCT
She vowed to.,PRON VERB PART PUNCT
Moler is acting.,PROPN AUX VERB PUNCT
He can play online.,PRON AUX VERB ADV PUNCT
It ’s.,PRON VERB PUNCT
The Internet is pretty amazing.,DET NOUN AUX ADV ADJ PUNCT
That ’s awesome.,PRON ADV ADJ PUNCT
This was amazing. ”,PRON AUX ADJ PUNCT PUNCT
Will we grow?,AUX PRON VERB PUNCT
There was a big chasm between the brothers.,PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT
And he made money.,CCONJ PRON VERB NOUN PUNCT
Can we reform it?,AUX PRON VERB PRON PUNCT
Dobson finished second.,PROPN VERB ADV PUNCT
He's just a nice dude.,PRON AUX ADV DET ADJ NOUN PUNCT
This information will not be in your physical possession and will be stored and safeguarded by the police.,DET NOUN AUX PART AUX ADP PRON ADJ NOUN CCONJ AUX AUX VERB CCONJ VERB ADP DET NOUN PUNCT
"I laughed. """,PRON VERB PUNCT PUNCT
Walker is right.,PROPN AUX ADJ PUNCT
ISIS got.,PROPN VERB PUNCT
You must select a newsletter specific newsletter to subscribe this week.,PRON AUX VERB DET PROPN ADJ NOUN PART VERB DET NOUN PUNCT
Like the image they were just happy.,ADP DET NOUN PRON AUX ADV ADJ PUNCT
He gives me nightmares.,PRON VERB PRON NOUN PUNCT
That is it.,PRON AUX PRON PUNCT
Why is Everything Star? ”,SCONJ AUX PRON PROPN PUNCT PUNCT
What happens on this issue of knowledge?,PRON VERB ADP DET NOUN ADP NOUN PUNCT
It will cost them a fortune.,PRON AUX VERB PRON DET NOUN PUNCT
It ’s like the big leagues.,PRON VERB ADP DET ADJ NOUN PUNCT
This helps with digestion clearance issues and pain.,PRON VERB ADP NOUN NOUN NOUN CCONJ NOUN PUNCT
This is easy stuff.,PRON AUX ADJ NOUN PUNCT
Barack Obama is the Republican Party ’s nominee.,PROPN PROPN AUX DET PROPN PROPN PROPN NOUN NOUN PUNCT
I think it worked well.,PRON VERB PRON VERB ADV PUNCT
Harry had a laugh.,PROPN VERB DET NOUN PUNCT
“ It was really frustrating.,PUNCT PRON AUX ADV ADJ PUNCT
It made you laugh.,PRON VERB PRON VERB PUNCT
I loved it.,PRON VERB PRON PUNCT
""" That's wonderful.",PUNCT PRON AUX ADJ PUNCT
That ’s such a huge misunderstood.,PRON VERB DET DET ADJ NOUN PUNCT
What can you do?,PRON AUX PRON VERB PUNCT
Then he would wake up the night in bed.,ADV PRON AUX VERB ADP DET NOUN ADP NOUN PUNCT
He was wearing nothing at all.,PRON AUX VERB PRON ADV ADV PUNCT
He ran the frontbench through it.,PRON VERB DET NOUN ADP PRON PUNCT
"By the way, Lord Hokage, “ it would just be the quantum key.",ADP DET PROPN PUNCT PROPN PROPN PUNCT PUNCT PRON AUX ADV AUX DET NOUN NOUN PUNCT
"That's why people and artists are so keen. """,PRON AUX SCONJ NOUN CCONJ NOUN AUX ADV ADJ PUNCT PUNCT
"She had grown "" fear of the unknown """,PRON AUX VERB PUNCT NOUN ADP DET NOUN PUNCT
It's called My Computer East instead.,PRON AUX VERB PRON PROPN PROPN ADV PUNCT
He should be a good captain. ”,PRON AUX AUX DET ADJ NOUN PUNCT PUNCT
"But, I will have an idea on a bigger government bill.",CCONJ PUNCT PRON AUX VERB DET NOUN ADP DET ADJ NOUN NOUN PUNCT
