text,pos,sentiment,tense
It ’s useless.,PRON VERB ADJ PUNCT,negative,present
They had lost their entire expedition.,PRON AUX VERB PRON ADJ NOUN PUNCT,negative,past
It was painful.,PRON AUX ADJ PUNCT,negative,past
It is painted.,PRON AUX VERB PUNCT,negative,present
"Based on this will hurt business lending institutions, investors and members of the Federal Reserve System.",VERB ADP PRON AUX VERB NOUN VERB NOUN NOUN PUNCT NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN PUNCT,negative,future
You must hate that.,PRON AUX VERB PRON PUNCT,negative,future
They will refuse the plan to give up.,PRON AUX VERB DET NOUN PART VERB ADP PUNCT,negative,future
It has no political relevance.,PRON VERB DET ADJ NOUN PUNCT,negative,present
You will now miss.,PRON AUX ADV ADJ PUNCT,negative,future
It ’s pretty boring.,PRON VERB ADV ADJ PUNCT,negative,future
This will a terrible mistake.,PRON AUX DET ADJ NOUN PUNCT,negative,future
The film was expensive.,DET NOUN AUX ADJ PUNCT,negative,past
This piece may hurt.,DET NOUN AUX VERB PUNCT,negative,future
It ’s a shame.,PRON VERB DET NOUN PUNCT,negative,present
MAN : The fire was estimated at 100 percent.,NOUN PUNCT DET NOUN AUX VERB ADP NUM NOUN PUNCT,negative,past
But he was wrong.,CCONJ PRON AUX ADJ PUNCT,negative,past
Turkey suffered a humiliating defeat.,PROPN VERB DET ADJ NOUN PUNCT,negative,past
It was a scary experience. ”,PRON AUX DET ADJ NOUN PUNCT PUNCT,negative,past
This increases disproportionality.,PRON VERB NOUN PUNCT,negative,present
It does n’t make us.,PRON AUX PROPN VERB PRON PUNCT,negative,present
She had lost everything to it.,PRON AUX VERB PRON ADP PRON PUNCT,negative,past
He has had no inspiration.,PRON AUX VERB DET NOUN PUNCT,negative,present
It ’s not.,PRON VERB PART PUNCT,negative,present
Whiteness was born.,PROPN AUX VERB PUNCT,negative,past
They would call home.,PRON AUX VERB ADV PUNCT,negative,future
He died.,PRON VERB PUNCT,negative,past
The system was fundamentally bad.,DET NOUN AUX ADV ADJ PUNCT,negative,past
That ’s silly.,PRON ADV ADJ PUNCT,negative,future
"We will never forgive. """,PRON AUX ADJ PUNCT PUNCT,negative,future
Would you scream?,AUX PRON VERB PUNCT,negative,future
That ’s a huge problem for the discussion.,PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT,negative,present
And he called errors.,CCONJ PRON VERB NOUN PUNCT,negative,past
Can I get them?,AUX PRON VERB PRON PUNCT,negative,future
Alex stared intently.,PROPN VERB ADV PUNCT,negative,past
That 'd probably an entire clan.,PRON AUX ADV DET ADJ NOUN PUNCT,negative,future
The result was to be on his back foot and had been mauled and beaten from the start.,DET NOUN AUX PART AUX ADP PRON ADJ NOUN CCONJ AUX AUX VERB CCONJ VERB ADP DET NOUN PUNCT,negative,past
"I missed. """,PRON VERB PUNCT PUNCT,negative,past
Iran would n’t.,PROPN AUX ADJ PUNCT,negative,future
Langella curses.,PROPN VERB PUNCT,negative,present
It is considered a nonstarter professional wrestler to watch this happen.,PRON AUX VERB DET PROPN ADJ NOUN PART VERB DET NOUN PUNCT,negative,present
Without a doubt it was really devastating.,ADP DET NOUN PRON AUX ADV ADJ PUNCT,negative,past
You destroyed your house.,PRON VERB PRON NOUN PUNCT,negative,past
That is all.,PRON AUX PRON PUNCT,negative,present
Why was it Spike? ”,SCONJ AUX PRON PROPN PUNCT PUNCT,negative,past
He stings off a story about people.,PRON VERB ADP DET NOUN ADP NOUN PUNCT,negative,present
This is making us a target.,PRON AUX VERB PRON DET NOUN PUNCT,negative,present
He died in the same hospital.,PRON VERB ADP DET ADJ NOUN PUNCT,negative,past
He suffered through drug use disorders and insomnia.,PRON VERB ADP NOUN NOUN NOUN CCONJ NOUN PUNCT,negative,past
It was foreign agents.,PRON AUX ADJ NOUN PUNCT,negative,past
JAMES BROWN will THE BLOOD Rapper ’s assimilationists.,PROPN PROPN AUX DET PROPN PROPN PROPN NOUN NOUN PUNCT,negative,future
I doubt it comes back.,PRON VERB PRON VERB ADV PUNCT,negative,future
SCR misses the beginning.,PROPN VERB DET NOUN PUNCT,negative,present
""" That was very frustrating.",PUNCT PRON AUX ADV ADJ PUNCT,negative,past
I thought they died.,PRON VERB PRON VERB PUNCT,negative,past
What worries me?,PRON VERB PRON PUNCT,negative,present
""" That was devastating.",PUNCT PRON AUX ADJ PUNCT,negative,past
He ’s quite a mess.,PRON VERB DET DET ADJ NOUN PUNCT,negative,present
It was all broken.,PRON AUX PRON VERB PUNCT,negative,past
Now it could wipe out the kind of media.,ADV PRON AUX VERB ADP DET NOUN ADP NOUN PUNCT,negative,future
You will hurt it more often!,PRON AUX VERB PRON ADV ADV PUNCT,negative,future
It ’s the end of it.,PRON VERB DET NOUN ADP PRON PUNCT,negative,present
"In The Angeles, Los Angeles, “ that has always been a terror attack.",ADP DET PROPN PUNCT PROPN PROPN PUNCT PUNCT PRON AUX ADV AUX DET NOUN NOUN PUNCT,negative,present
This is how unemployment and homelessness are very different. ”,PRON AUX SCONJ NOUN CCONJ NOUN AUX ADV ADJ PUNCT PUNCT,negative,present
"I was intoxicated, shock on the ice.",PRON AUX VERB PUNCT NOUN ADP DET NOUN PUNCT,negative,past
That has cost me John ’s back.,PRON AUX VERB PRON PROPN PROPN ADV PUNCT,negative,present
It had been a difficult road. ”,PRON AUX AUX DET ADJ NOUN PUNCT PUNCT,negative,past
"But, that ’s left a lot of the same pie chart.",CCONJ PUNCT PRON AUX VERB DET NOUN ADP DET ADJ NOUN NOUN PUNCT,negative,past
"19 Tomoe River, 18 died this year from long - acting pneumopathology and was kept in place long and arduously.",NUM PROPN PROPN PUNCT NUM VERB DET NOUN ADP ADV PUNCT VERB NOUN CCONJ AUX VERB ADP NOUN ADV CCONJ ADV PUNCT,negative,past
It just gets worse.,PRON ADV VERB ADJ PUNCT,negative,present
This bad guy is a crook.,DET ADJ NOUN AUX DET NOUN PUNCT,negative,present
He was heavily disbarred by the court.,PRON AUX ADV VERB ADP DET NOUN PUNCT,negative,past
They had been cheating.,PRON AUX AUX VERB PUNCT,negative,past
That alone was a huge risk.,PRON ADV AUX DET ADJ NOUN PUNCT,negative,past
A second attack is scheduled for Wednesday.,DET ADJ NOUN AUX VERB ADP PROPN PUNCT,negative,present
"How ironic is it is that such effete behavior — from Wikipedia — seems like Twitter to━chebag over - like, 3 yup!",SCONJ ADJ AUX PRON AUX SCONJ ADJ ADJ NOUN PUNCT ADP PROPN PUNCT VERB ADP PROPN ADP VERB ADV PUNCT INTJ PUNCT NUM NOUN PUNCT,negative,present
